Název;Autor;Vydavatelství;Rok vydání;Jazyk;Počet stran;Cena;Level;Počet slov;Úroveň;Žánr;Podžánr;Počet kusů;Příslušenství;Pořízeno
Gulliver's Travels;Jonathan Swift;Pearson;2008;British English;48;155;2;600;A2;Classic literature;Adventure;2;;VOŠ, SPŠ a SOŠS a CR Varnsdorf
A Christmas Carol;Charles Dickens;Pearson;2008;British English;44;155;2;600;A2;Classic literature;Cultural and social issues;2;;VOŠ, SPŠ a SOŠS a CR Varnsdorf
Of Mice and Men;John Steinbeck;Pearson;2008;American English;56;155;2;600;A2;Classic literature;Cultural and social issues;2;;VOŠ, SPŠ a SOŠS a CR Varnsdorf
Three Short Stories of Sherlock Holmes;Sir Arthur Conan Doyle;Pearson;2008;British English;56;155;2;600;A2;Classic literature;Crime/Mystery;2;;VOŠ, SPŠ a SOŠS a CR Varnsdorf
Simply Suspense + Audio CD;Frank Stockton;Pearson;2008;British English;56;172;2;600;A2;Short stories;Thriller;2;Audio CD;VOŠ, SPŠ a SOŠS a CR Varnsdorf
Extreme Sports;Michael Dean;Pearson;2008;American English;36;155;2;600;A2;Non-fiction;Adventure;2;;VOŠ, SPŠ a SOŠS a CR Varnsdorf
Stories of Other Worlds + Audio CD;H.G. Wells;Pearson;2015;British English;64;172;2;600;A2;Short stories;Sci-fi/Fantasy;1;Audio CD;VOŠ, SPŠ a SOŠS a CR Varnsdorf
Parallel;Colin Campbell;Cambridge;2004;British English;32;165;1;400;A1;Thriller;;1;Downloadable audio;VOŠ, SPŠ a SOŠS a CR Varnsdorf
Within High Fences;Penny Hancock;Cambridge;2005;British English;48;165;2;800;A2;Romance;;1;Downloadable audio;VOŠ, SPŠ a SOŠS a CR Varnsdorf
Superbird;Brian Tomlinson;Cambridge;1999;British English;48;165;2;800;A2;Sci-fi/Fantasy;;1;Downloadable audio;VOŠ, SPŠ a SOŠS a CR Varnsdorf
